"","mean","sd","0.025quant","0.5quant","0.975quant","mode","kld"
"(Intercept)",1.80373225913125,1.77162659137241,0.571503710266939,1.8202668424376,5.40672082102199,1.85351446827518,1.00000018832167
"black",1.02900569627377,1.00620592959368,1.01658535111001,1.02900149030957,1.04158960071142,1.02899362322472,1.00000034478168
"poverty",1.07443934681681,1.01098255745831,1.05166586247544,1.07442576305029,1.09776109527015,1.07439956972949,1.00000054659235
"educBachPlus",1.02918004773729,1.00622746724627,1.01674440882242,1.02916583787846,1.04183591018716,1.02913795900689,1.0000012667134
"male",0.924164100685887,1.01208399947652,0.90288689024819,0.924070215724591,0.946476216399458,0.923884843951744,1.00000007425504
"secpercvac",0.958014463141181,1.00370163999161,0.951035963295556,0.958031920171102,0.964940038705527,0.958067094889517,1.00000222651168
"age1824.perc",0.992299721802913,1.01019543844004,0.972723040919839,0.992298248266589,1.01225948813357,0.992296153661808,1.00000017991767
"govt",5.83766207530313,1.25245715023793,3.75600533192766,5.83508664937986,9.09155211133312,5.83004064776973,1.00000070615269
