"","census_tract_code","year","arrests_B","arrests_W","arrests_total","state","county","ct_pop","ct_white","ct_black","pct_white","pct_black","TotalArrestPct","BlackArrestPct","WhiteArrestPct","TotalArrestPopPct","BlackArrestPopPct","WhiteArrestPopPct","SIRtotal","SIRblack","SIRwhite","sptRE","sptRE_W","sptRE_B"
"1",10100,2010,965,693,1658,37,129,3153,822,2116,0.260704091,0.671106882,99.9939690006634,58.1991435980942,41.7948254025692,52.58317211633,45.6027597939606,84.2963143169931,1537.63580834575,402.663555991805,3837.60678970223,1.51081487058588,1.41682731055146,2.49681012946354
"2",10100,2011,854,754,1614,37,129,2749,623,1970,0.226627865,0.716624227,99.9938045969891,52.9087417136485,46.7133387026826,58.7101233130843,43.3480533983047,121.007863906275,1716.57400622227,382.744438614565,5499.39393750557,2.83942890856999,2.17034174465853,2.94523014889714
"3",10100,2012,839,772,1617,37,129,2877,561,2263,0.194994786,0.786583246,99.9938160905324,51.8830004328737,47.7397810896048,56.2024260540127,37.0730414033847,137.586882908572,1643.32873691039,327.355659099906,6247.92834369542,0.783975548599995,0.641293443132695,0.803348511000346
"4",10100,2013,752,701,1454,37,129,2462,636,1795,0.258326564,0.729082047,99.9931228938863,51.71583797538,48.2085138573688,59.0552780147029,41.8918166118879,110.202798302154,1726.45895772702,369.87217094113,5009.07096674723,1.66804909108822,1.76878598400044,1.42804312461388
"5",10100,2014,629,539,1169,37,129,2212,566,1627,0.255877034,0.735533454,99.9914464117697,53.8020699683517,46.1038405611154,52.8457122191583,38.6577346198759,95.2128599187423,1544.7244174921,341.302370843193,4323.99303500495,8.52648559123714,7.79009355184925,7.47195054469016
"6",10100,2015,571,574,1153,37,129,2161,845,1278,0.391022675,0.591392874,99.9913277252624,49.5186887520597,49.7788569941896,53.3524593956781,44.6756904780534,67.9209560998698,1559.49009220822,394.382030776937,3092.57119296499,0.332913378741495,0.299521050453758,0.235122270976228
"7",10100,2016,696,615,1315,37,129,2245,882,1259,0.392873051,0.560801782,99.9923960155121,52.9237320355866,46.7645046004106,58.5720012471605,55.2775792232547,69.7199863961002,1712.14075915824,487.967443270773,3175.18637526169,5.18195424205546,5.6784909206565,11.9304480269704
"8",10100,2017,657,554,1215,37,129,2251,906,1225,0.402487783,0.544202577,99.9917702246729,54.0696238992675,45.59295531232,53.9736129003598,53.6282752428373,61.1411543979693,1577.72878399613,473.399906346419,2784.86187315424,1.63855780071707,1.83865210240069,2.2388328808542
"9",10100,2018,437,477,920,37,129,2267,943,1182,0.41596824,0.521393913,99.9891316161287,47.4948375176611,51.8421910661885,40.5804772617,36.9681076051096,50.5778814547768,1186.23805807212,326.325839021351,2304.16961423538,5.88781081135803,7.50704535980413,5.25667308834144
"10",10200,2010,177,147,325,37,129,3290,1386,1897,0.421276596,0.576595745,99.9692402337742,54.4447862196247,45.2168563518917,9.87811920610316,9.33003004585947,10.6052954332299,288.866489672784,82.3788433402733,483.874700601777,7.93901352423616,8.56941167950675,17.2850394600386
"11",10200,2011,272,118,390,37,129,3440,1609,1815,0.467732558,0.527616279,99.9743655472956,69.7257113560625,30.248654191233,11.336879741868,14.9854002534296,7.33329190230564,331.537529885077,132.310069380861,334.736405976006,0.77651662419333,0.589824209462572,1.0196185878041
"12",10200,2012,221,88,309,37,129,3530,1598,1908,0.452691218,0.540509915,99.9676480103526,71.4978971206729,28.4697508896797,8.75329310784397,11.5822021906609,5.50653901508041,255.98806641625,102.264482032753,251.347403049176,0.317860029569195,0.925273851004702,1.13553195918539
"13",10200,2013,181,135,316,37,129,3587,1590,1968,0.443267354,0.548647895,99.9683644416324,57.2603606453654,42.708003796267,8.80934459591313,9.19668716020528,8.4900320734545,257.630555048042,81.2027107710626,387.524271255326,1.55867935336952,1.14319988574153,1.26195545853342
"14",10200,2014,212,125,337,37,129,3699,1678,1844,0.453636118,0.498513112,99.9703352121032,62.8893503411451,37.0809848709582,9.11032413289719,11.4961227699149,7.44890054227996,266.439097397265,101.503002509286,340.052290740378,7.41140513466488,6.95162008467926,1.64367123503272
"15",10200,2015,163,88,252,37,129,3703,1678,1866,0.453146098,0.503915744,99.9603332011107,64.6568821896073,34.9067830226101,6.80510923280495,8.73479449118483,5.24402598176509,199.021311510917,77.1227241459847,239.396812681226,0.898546472464203,0.879058089183181,1.30533743860215
"16",10200,2016,212,148,361,37,129,3644,1991,1438,0.546377607,0.394621295,99.9723068402105,58.7094987538078,40.9858764885073,9.90642408276392,14.7416730408177,7.43307719351112,289.718371488915,130.143420257752,339.47193672033,3.73552102263008,3.6606053207428,2.8819833289989
"17",10200,2017,167,131,298,37,129,3603,1995,1331,0.553705246,0.369414377,99.9664542099966,56.0214693056021,43.9449849043945,8.27065582415143,12.5460145744121,6.5660869129367,241.877369882781,110.754715221536,299.877454471497,2.16834246389334,2.21034874389596,2.19608080780963
"18",10200,2018,203,120,324,37,129,3503,1958,1329,0.558949472,0.379389095,99.9691453255168,62.6349892008639,37.025609379821,9.24895092917702,15.2734933413588,6.12838976558909,270.48179862342,134.832452040356,279.87569980747,1.34151125099529,1.33977180383822,1.24946119261165
"19",10300,2010,253,103,358,37,129,5104,2345,2622,0.459443574,0.513714734,99.9720748394303,70.6506562412734,28.7629153867635,7.0139691620462,9.64875481484306,4.39213679587224,205.172558517744,85.2027243520456,200.658797504419,1.03871042511085,1.07954954653324,1.19293778283215
