"","mean","sd","0.025quant","0.5quant","0.975quant","mode","kld"
"(Intercept)",0.589857995510101,0.571898102760315,-0.559484303612721,0.598983107065478,1.68764277618761,0.617083549499512,1.88321657235575e-07
"black",0.0285929925739765,0.00618675211444497,0.0164493162376912,0.0285889051594868,0.0407480084663196,0.0285812597721815,3.44781617958448e-07
"poverty",0.0717989876866341,0.0109226871281862,0.0503754426421514,0.0717863449512101,0.0932727376918246,0.0717619657516479,5.46592199626364e-07
"educBachPlus",0.0287624150514603,0.00620815670117736,0.0166057667218907,0.028748607985376,0.0409844551024948,0.0287215188145638,1.26671260167839e-06
"male",-0.0788656249642372,0.0120115708559752,-0.102157993379619,-0.0789672191836964,-0.0550094365941049,-0.0791678428649902,7.42550419106046e-08
"secpercvac",-0.0428924039006233,0.00369480578228831,-0.0502034008578049,-0.0428741819723095,-0.0356893156301243,-0.0428374670445919,2.22650920005907e-06
"age1824.perc",-0.00773007841780782,0.0101438155397773,-0.0276558817962135,-0.0077315633899239,0.0121849491967205,-0.00773367425426841,1.79917649364536e-07
"govt",1.76433038711548,0.225107342004776,1.32335598092106,1.76388911556483,2.20734564293496,1.76302397251129,7.06152436420586e-07
