"","mean","sd","0.025quant","0.5quant","0.975quant","mode","kld"
"(Intercept)",1.90210144127246,1.81396351391154,0.574884046398936,1.92007980531954,5.96757547961199,1.95624687836123,1.00000022249663
"black",0.986225568097938,1.00660554483344,0.973549944098834,0.986225620334142,0.999053985246568,0.986226306567499,1.00000035069609
"poverty",1.08483246236305,1.01167875757635,1.0604232617067,1.08481184808803,1.10989729439112,1.08477160185362,1.00000070840294
"educBachPlus",1.04972728674458,1.0066132743401,1.0362573187619,1.0497145737128,1.06343119649809,1.04968973451145,1.00000124222192
"male",0.93950485794896,1.01266290422949,0.916852828312802,0.939406226288086,0.963276239465942,0.939211459280147,1.0000001200204
"secpercvac",0.973714810781858,1.00405439442385,0.965969901154189,0.973727306216702,0.981444167629986,0.973752498075304,1.00000146692244
"age1824.perc",0.981708415157405,1.0108536409998,0.961104261232033,0.981708942256616,1.00273108177593,0.981710911164658,1.00000026272763
"govt",7.53551257655372,1.27265502389652,4.69608279337938,7.53345019518517,12.1048785276423,7.52947480665548,1.00000071986529
