"","mean","sd","0.025quant","0.5quant","0.975quant","mode","kld"
"(Intercept)",2.11780635353925,1.74766579128027,0.689894552737737,2.13646308006335,6.18673052419148,2.17396082727931,1.00000016770135
"black",1.05010512842666,1.00609088062568,1.03766305745684,1.05010086213319,1.06270849572671,1.05009287628186,1.00000033731026
"poverty",1.07772920170782,1.0107787859002,1.05530488023911,1.07771517449761,1.10068790938221,1.07768809038557,1.00000053955765
"educBachPlus",1.0305744529517,1.00611138556798,1.01835308275697,1.0305600918317,1.0430116424901,1.0305319098568,1.00000125150747
"male",0.927580016871709,1.01181269158694,0.906689191276011,0.927489909622995,0.949462333269181,0.927311984450021,1.00000008743711
"secpercvac",0.958622915111012,1.00364086869496,0.951753261158968,0.958640348239327,0.965438250450757,0.958675462432332,1.00000219176457
"age1824.perc",0.988645802824788,1.01000643735597,0.969497033841576,0.98864447571054,1.00816144395472,0.988642657554095,1.0000001739216
"govt",5.76097985242966,1.24735060546262,3.73645737431294,5.75847732520004,8.90032665871102,5.75357513661436,1.00000070441502
